count_date,dam_id,fish_id,count
2015-01-08,3,5,0
2015-01-08,4,5,0
2015-01-09,3,4,0
2015-01-09,3,6,0
2015-01-09,3,7,0
2015-01-09,9,5,0
2015-01-09,3,5,0
2015-01-09,3,1,0
2015-01-09,4,1,0
2015-01-09,4,2,0
2015-01-09,4,8,0
2015-01-09,4,9,0
2015-01-09,4,3,13
2015-01-09,4,4,6
2015-01-09,4,6,0
2015-01-09,4,7,0
2015-01-09,9,1,0
2015-01-09,4,5,0
2015-01-09,9,2,0
2015-01-09,9,8,0
2015-01-09,9,9,0
2015-01-09,9,3,17
2015-01-09,9,4,6
2015-01-09,9,7,0
2015-01-09,9,6,0
2015-01-09,3,2,0
2015-01-09,3,8,0
2015-01-09,3,9,0
2015-01-09,3,3,35
2015-01-10,4,1,0
2015-01-10,4,2,0
2015-01-10,4,8,0
2015-01-10,4,9,0
2015-01-10,4,3,9
2015-01-10,3,1,0
2015-01-10,4,4,7
2015-01-10,9,5,0
2015-01-10,3,5,0
2015-01-10,3,7,0
2015-01-10,3,6,0
2015-01-10,3,4,0
2015-01-10,3,3,12
2015-01-10,3,9,0
2015-01-10,3,8,0
2015-01-10,3,2,0
2015-01-10,9,7,0
2015-01-10,9,3,30
2015-01-10,9,9,0
2015-01-10,9,8,0
2015-01-10,9,2,0
2015-01-10,9,1,0
2015-01-10,4,6,0
2015-01-10,4,7,0
2015-01-10,4,5,0
2015-01-10,9,6,0
2015-01-10,9,4,11
2015-01-11,3,5,0
2015-01-11,9,5,0
2015-01-11,9,4,11
2015-01-11,9,7,0
2015-01-11,9,6,0
2015-01-11,4,1,0
2015-01-11,4,2,0
2015-01-11,4,8,0
2015-01-11,4,9,0
2015-01-11,4,3,19
2015-01-11,4,4,11
2015-01-11,4,6,0
2015-01-11,4,7,0
2015-01-11,4,5,0
2015-01-11,3,2,0
2015-01-11,3,1,0
2015-01-11,3,7,0
2015-01-11,3,6,0
2015-01-11,3,4,0
2015-01-11,3,3,30
2015-01-11,3,9,0
2015-01-11,3,8,0
2015-01-11,9,1,0
2015-01-11,9,2,0
2015-01-11,9,8,0
2015-01-11,9,9,0
2015-01-11,9,3,27
2015-01-12,3,6,0
2015-01-12,9,1,0
2015-01-12,3,7,0
2015-01-12,3,8,0
2015-01-12,3,9,0
2015-01-12,3,3,16
2015-01-12,3,4,0
2015-01-12,3,5,0
2015-01-12,9,2,0
2015-01-12,9,8,0
2015-01-12,9,9,0
2015-01-12,9,3,8
2015-01-12,9,4,3
2015-01-12,9,6,0
2015-01-12,9,7,0
2015-01-12,9,5,0
2015-01-12,4,5,0
2015-01-12,4,7,0
2015-01-12,4,6,0
2015-01-12,4,4,4
2015-01-12,4,3,12
2015-01-12,4,9,0
2015-01-12,4,8,0
2015-01-12,4,2,0
2015-01-12,4,1,0
2015-01-12,3,2,0
2015-01-12,3,1,0
2015-01-13,4,9,0
2015-01-13,3,9,0
2015-01-13,3,3,24
2015-01-13,3,4,0
2015-01-13,3,6,0
2015-01-13,3,7,0
2015-01-13,3,5,0
2015-01-13,9,5,0
2015-01-13,9,7,0
2015-01-13,9,6,0
2015-01-13,9,4,9
2015-01-13,9,3,23
2015-01-13,9,9,0
2015-01-13,9,8,0
2015-01-13,9,2,0
2015-01-13,9,1,0
2015-01-13,3,2,0
2015-01-13,4,5,0
2015-01-13,4,7,0
2015-01-13,4,6,0
2015-01-13,4,4,10
2015-01-13,4,3,20
2015-01-13,4,8,0
2015-01-13,4,2,0
2015-01-13,4,1,0
2015-01-13,3,1,0
2015-01-13,3,8,0
2015-01-14,9,6,0
2015-01-14,9,7,0
2015-01-14,9,5,0
2015-01-14,3,1,0
2015-01-14,9,3,5
2015-01-14,9,2,0
2015-01-14,3,2,0
2015-01-14,3,8,0
2015-01-14,3,9,0
2015-01-14,3,3,18
2015-01-14,4,1,0
2015-01-14,9,9,0
2015-01-14,4,2,0
2015-01-14,4,8,0
2015-01-14,4,9,0
2015-01-14,4,3,25
2015-01-14,4,4,9
2015-01-14,4,6,0
2015-01-14,4,7,0
2015-01-14,4,5,0
2015-01-14,3,4,0
2015-01-14,9,8,0
2015-01-14,3,6,0
2015-01-14,9,1,0
2015-01-14,3,7,0
2015-01-14,3,5,0
2015-01-14,9,4,1
2015-01-15,4,4,6
2015-01-15,4,7,0
2015-01-15,4,5,0
2015-01-15,9,1,0
2015-01-15,9,2,0
2015-01-15,9,8,0
2015-01-15,9,9,0
2015-01-15,9,3,7
2015-01-15,9,4,5
2015-01-15,9,6,0
2015-01-15,3,1,0
2015-01-15,3,2,0
2015-01-15,3,8,0
2015-01-15,3,9,0
2015-01-15,3,3,33
2015-01-15,3,4,0
2015-01-15,3,6,0
2015-01-15,3,7,0
2015-01-15,3,5,0
2015-01-15,9,5,0
2015-01-15,9,7,0
2015-01-15,4,1,0
2015-01-15,4,2,0
2015-01-15,4,8,0
2015-01-15,4,9,0
2015-01-15,4,3,16
2015-01-15,4,6,0
2015-01-16,9,4,7
2015-01-16,9,6,0
2015-01-16,4,5,0
2015-01-16,3,5,0
2015-01-16,3,7,0
2015-01-16,3,6,0
2015-01-16,3,4,0
2015-01-16,3,3,14
2015-01-16,4,7,0
2015-01-16,4,6,0
2015-01-16,4,4,9
2015-01-16,4,3,13
2015-01-16,4,9,0
2015-01-16,4,8,0
2015-01-16,4,2,0
2015-01-16,4,1,0
2015-01-16,9,5,0
2015-01-16,9,1,0
2015-01-16,9,2,0
2015-01-16,9,7,0
2015-01-16,9,8,0
2015-01-16,9,9,0
2015-01-16,9,3,20
2015-01-16,3,9,0
2015-01-16,3,8,0
2015-01-16,3,2,0
2015-01-16,3,1,0
2015-01-17,4,7,0
2015-01-17,4,5,0
2015-01-17,9,5,0
2015-01-17,9,7,0
2015-01-17,9,6,0
2015-01-17,9,4,4
2015-01-17,4,4,12
2015-01-17,9,3,7
2015-01-17,9,9,0
2015-01-17,9,8,0
2015-01-17,3,5,0
2015-01-17,3,7,0
2015-01-17,3,6,0
2015-01-17,3,4,0
2015-01-17,3,3,18
2015-01-17,3,9,0
2015-01-17,3,8,0
2015-01-17,3,2,0
2015-01-17,3,1,0
2015-01-17,9,2,0
2015-01-17,4,1,0
2015-01-17,9,1,0
2015-01-17,4,2,0
2015-01-17,4,8,0
2015-01-17,4,6,0
2015-01-17,4,9,0
2015-01-17,4,3,29
2015-01-18,3,9,0
2015-01-18,4,1,0
2015-01-18,3,7,0
2015-01-18,3,5,0
2015-01-18,4,6,0
2015-01-18,4,7,0
2015-01-18,4,5,0
2015-01-18,9,5,0
2015-01-18,9,7,0
2015-01-18,9,6,0
2015-01-18,4,2,0
2015-01-18,4,8,0
2015-01-18,4,9,0
2015-01-18,4,3,41
2015-01-18,4,4,18
2015-01-18,3,6,0
2015-01-18,3,4,0
2015-01-18,3,3,29
2015-01-18,3,8,0
2015-01-18,3,2,0
2015-01-18,3,1,0
2015-01-18,9,1,0
2015-01-18,9,2,0
2015-01-18,9,8,0
2015-01-18,9,9,0
2015-01-18,9,3,7
2015-01-18,9,4,4
2015-01-19,3,5,0
2015-01-19,4,5,0
2015-01-19,4,7,0
2015-01-19,9,1,0
2015-01-19,9,2,0
2015-01-19,9,8,0
2015-01-19,9,9,0
2015-01-19,9,3,2
2015-01-19,4,6,0
2015-01-19,4,4,12
2015-01-19,4,3,36
2015-01-19,4,9,0
2015-01-19,4,8,0
2015-01-19,4,2,0
2015-01-19,4,1,0
2015-01-19,3,7,0
2015-01-19,3,6,0
2015-01-19,3,4,0
2015-01-19,3,3,6
2015-01-19,3,9,0
2015-01-19,3,8,0
2015-01-19,3,2,0
2015-01-19,3,1,0
2015-01-19,9,5,0
2015-01-19,9,7,0
2015-01-19,9,6,0
2015-01-19,9,4,2
2015-01-20,9,6,0
2015-01-20,9,4,0
2015-01-20,9,3,2
2015-01-20,9,9,0
2015-01-20,9,8,0
2015-01-20,9,2,0
